,id,major,gender,c01,c02,c03,c04,c05,c06,c07,c08,c09,c10,academic,campus,internship,AtRisk_academic,AtRisk_campus,AtRisk_internship,At_Risk,graduate_program,goverment,industry,placement,annual
0,0,Mathmatics,M,86.06060606060606,82.08092485549133,75.5813953488372,61.0,63.898916967509024,79.72350230414746,80.92105263157895,74.67532467532467,86.44859813084112,91.94915254237289,78.23394735167086,10,5,0,0,0,0,0.4058926025724787,0.40500366174121083,0.3450018908109034,1.1558981551245928,123269.80167967013
1,1,Electric Engineering,M,77.57575757575758,88.4393063583815,83.72093023255815,67.5,63.17689530685921,72.35023041474655,76.97368421052632,90.25974025974025,83.17757009345794,81.77966101694915,78.49537754689766,8,6,0,0,0,0,0.3879635803570772,0.34002392351351673,0.34680578599562334,1.0747932898662171,127784.67203331518
2,2,Electric Engineering,F,70.3030303030303,78.61271676300578,69.76744186046511,56.0,54.87364620938628,72.35023041474655,74.34210526315789,82.46753246753246,72.89719626168224,81.35593220338983,71.29698317463964,3,9,1,1,0,2,0.21391390073692662,0.15250939575365974,0.34428283663916326,0.7107061331297496,66317.8194274384
3,3,Electric Engineering,F,84.84848484848484,86.70520231213872,84.30232558139535,64.5,63.537906137184116,83.41013824884793,80.92105263157895,84.41558441558442,85.51401869158879,88.98305084745763,80.71377637142608,2,10,0,1,0,1,0.3688911565731687,0.15803058089288388,0.38374328591141266,0.9106650233774651,122608.70283935191
4,4,Mathmatics,F,85.45454545454545,80.92485549132948,75.5813953488372,64.5,67.50902527075812,76.95852534562212,84.21052631578948,77.92207792207792,83.17757009345794,89.83050847457628,78.6069029716994,13,9,0,0,0,0,0.5018770204858777,0.5474613698565087,0.4967405372542715,1.546078927596658,132840.0833227062
5,5,Computer Science,M,92.72727272727273,88.4393063583815,72.67441860465117,69.0,75.81227436823104,97.23502304147465,98.02631578947368,85.71428571428571,76.16822429906541,91.10169491525424,84.689881581809,2,18,0,1,0,1,0.5183663301402027,0.234005882330197,0.616006675731302,1.3683788882017018,155241.48424081743
6,6,Others,M,73.93939393939394,86.1271676300578,69.18604651162791,81.0,81.2274368231047,73.27188940092167,86.84210526315789,88.31168831168831,71.02803738317758,63.559322033898304,77.4493087297028,18,5,0,0,0,0,0.522804173319875,0.6965541858184968,0.44932386239377065,1.6686822215321424,163804.5387992105
7,7,Information Science,F,72.72727272727273,81.5028901734104,78.48837209302326,84.0,82.31046931407943,68.66359447004608,70.39473684210526,75.97402597402598,78.03738317757009,56.355932203389834,74.8454676974923,19,10,1,0,0,1,0.5454654321824274,0.7621139277508644,0.5942519683188779,1.9018313282521695,204392.44765495183
8,8,Mathmatics,F,90.9090909090909,85.54913294797687,77.90697674418605,67.0,71.48014440433214,90.3225806451613,84.86842105263158,77.92207792207792,81.30841121495327,86.44067796610169,81.37075138065117,6,18,0,0,0,0,0.5267551589420858,0.36900907650143355,0.6603816646127548,1.5561459000562743,172055.9347023231
9,9,Computer Science,F,92.72727272727273,89.01734104046243,69.76744186046511,71.0,76.17328519855596,93.54838709677419,94.07894736842105,84.41558441558442,79.4392523364486,91.10169491525424,84.12692069592387,9,11,0,0,0,0,0.5515019363831247,0.4358938291849493,0.5136419270462272,1.5010376926143012,152404.25884313253
10,10,Electric Engineering,M,72.12121212121212,83.23699421965318,77.90697674418605,65.5,61.01083032490975,66.82027649769586,77.63157894736842,90.9090909090909,79.4392523364486,78.8135593220339,75.33897714225989,6,1,0,0,1,1,0.2504740711375042,0.21645893398062585,0.1732529380828391,0.6401859432009691,66985.63442284497
11,11,Computer Science,M,74.54545454545455,78.61271676300578,63.372093023255815,62.5,67.14801444043322,76.49769585253456,84.86842105263158,76.62337662337663,71.96261682242991,79.66101694915254,73.57914060722746,12,3,1,0,0,1,0.3384847984162241,0.4461460011651215,0.30379984007650873,1.0884306396578542,117074.13991972788
12,12,Computer Science,F,84.84848484848484,79.1907514450867,68.6046511627907,62.0,66.06498194945848,85.25345622119816,82.89473684210526,77.27272727272727,71.02803738317758,82.62711864406779,75.97849457690967,3,8,0,1,0,1,0.28381498962879737,0.16207193721616292,0.3290259912731817,0.774912918118142,75008.25597776593
13,13,Electric Engineering,F,86.06060606060606,94.21965317919076,84.88372093023256,72.0,70.3971119133574,86.63594470046083,88.8157894736842,96.1038961038961,89.7196261682243,92.37288135593221,86.12092298855845,7,17,0,0,0,0,0.6141225021410454,0.41562911677026976,0.6586086329196446,1.6883602518309597,210112.96861233842
14,14,Electric Engineering,M,85.45454545454545,86.70520231213872,84.30232558139535,65.0,64.25992779783394,83.41013824884793,80.26315789473684,86.36363636363636,85.51401869158879,90.2542372881356,81.1527189632859,1,13,0,1,0,1,0.39065511259365104,0.14584430154251338,0.4547420734478826,0.991241487584047,149415.04907094987
15,15,Mathmatics,M,77.57575757575758,73.41040462427746,69.18604651162791,57.0,62.81588447653429,73.73271889400921,76.97368421052632,68.83116883116882,79.4392523364486,88.98305084745763,72.79479683078078,7,-1,1,0,1,2,0.20287958200291908,0.22856459468342397,0.12436448241526325,0.5558086591016063,88604.97676302574
16,16,Electric Engineering,F,69.6969696969697,78.03468208092485,70.34883720930233,56.0,55.5956678700361,71.88940092165899,76.3157894736842,82.46753246753246,72.89719626168224,81.77966101694915,71.502573699874,2,10,1,1,0,2,0.21132139841793712,0.12412893707588223,0.35923934690438897,0.6946896823982083,103738.48202136978
17,17,Liberal Arts,M,75.75757575757575,80.92485549132948,66.86046511627907,83.0,83.75451263537906,70.50691244239631,82.89473684210526,79.87012987012987,71.49532710280374,57.6271186440678,75.26916339020661,22,6,0,0,0,0,0.5608591707698418,0.8434170564735816,0.5244395688919454,1.928715796135369,187659.18068958662
18,18,Electric Engineering,F,81.81818181818181,90.7514450867052,80.81395348837209,70.0,64.62093862815884,80.64516129032258,82.23684210526316,96.1038961038961,79.4392523364486,82.20338983050847,80.86330606878569,3,10,0,1,0,1,0.3877407900878593,0.19538571821633477,0.3974422312194628,0.9805687395236569,112338.16943643821
19,19,Others,M,80.0,90.17341040462428,84.30232558139535,87.0,84.83754512635379,83.41013824884793,84.21052631578948,90.25974025974025,78.97196261682242,66.10169491525424,82.92673434688278,13,15,0,0,0,0,0.6368674192063299,0.6093664166431315,0.674496811962448,1.9207306478119093,176411.90783016756
20,20,Others,F,81.81818181818181,95.95375722543352,86.04651162790698,96.5,93.86281588447653,88.0184331797235,89.47368421052632,94.15584415584415,85.51401869158879,68.64406779661017,87.99873145902919,17,12,0,0,0,0,0.7582505409779269,0.7522499862800686,0.6580618890379184,2.168562416295914,184694.826222324
21,21,Mathmatics,M,85.45454545454545,86.70520231213872,75.5813953488372,65.5,68.23104693140795,91.70506912442396,84.21052631578948,82.46753246753246,87.38317757009345,95.33898305084746,82.25774785756161,2,19,0,1,0,1,0.48694381015665034,0.23272212959587493,0.6372473882850348,1.35691332803756,152575.27694316348
22,22,Computer Science,F,78.18181818181819,78.61271676300578,69.18604651162791,60.5,63.537906137184116,76.036866359447,85.52631578947368,80.51948051948052,77.57009345794393,87.28813559322033,75.69593793132015,9,2,0,0,1,1,0.31563788072159804,0.3358547757475997,0.241816774715745,0.8933094311849428,94178.18993751759
23,23,Computer Science,M,93.33333333333333,93.64161849710983,76.74418604651163,74.5,77.61732851985559,94.47004608294931,93.42105263157895,90.25974025974025,83.17757009345794,88.55932203389831,86.5724197498435,5,17,0,0,0,0,0.5892624870747948,0.34368124876806166,0.6332073960439811,1.5661511318868375,199064.5458356226
24,24,Computer Science,M,85.45454545454545,84.39306358381504,70.34883720930233,65.0,65.70397111913357,84.33179723502305,84.86842105263158,83.76623376623377,74.76635514018692,83.89830508474576,78.25315296456174,6,13,0,0,0,0,0.4225128709104632,0.31919648953300833,0.5135343621539528,1.2552437225974242,161503.07868192022
25,25,Liberal Arts,M,75.75757575757575,83.81502890173411,66.86046511627907,82.5,85.1985559566787,75.57603686635944,88.15789473684211,81.81818181818181,75.23364485981308,63.559322033898304,77.84767060473624,19,9,0,0,0,0,0.5866397366505332,0.7654958085019203,0.5745277722275473,1.9266633173800007,152566.21902123233
26,26,Others,M,67.27272727272727,78.61271676300578,65.11627906976744,78.0,78.70036101083032,66.3594470046083,74.34210526315789,76.62337662337663,71.02803738317758,58.898305084745765,71.49533554753968,17,5,1,0,0,1,0.4046618862029715,0.6378359124753097,0.42018374895676275,1.462681547635044,127842.59061401142
27,27,Mathmatics,M,78.78787878787878,75.72254335260115,73.83720930232558,60.5,59.56678700361011,68.66359447004608,71.05263157894737,73.37662337662337,81.77570093457943,84.7457627118644,72.8028731518476,6,3,1,0,0,1,0.22745533465288367,0.22246018669894854,0.22192781885613488,0.6718433402079671,65740.40520161937
28,28,Electric Engineering,M,75.15151515151516,83.81502890173411,80.23255813953489,63.5,58.48375451263538,70.50691244239631,76.97368421052632,92.85714285714286,74.76635514018692,77.96610169491525,75.4253053050587,6,2,0,0,1,1,0.26213315999647746,0.22444432892503446,0.2011933443326281,0.68777083325414,90807.98431736344
29,29,Information Science,F,83.63636363636364,91.32947976878613,82.55813953488372,92.0,89.89169675090253,82.48847926267281,77.63157894736842,81.81818181818181,85.51401869158879,63.559322033898304,83.04272604446463,18,15,0,0,0,0,0.7203102651444985,0.7938173033133895,0.7413111847000265,2.2554387531579145,233154.01801596553
30,30,Liberal Arts,M,86.06060606060606,87.86127167630057,72.67441860465117,88.0,89.89169675090253,84.33179723502305,91.44736842105263,85.06493506493507,78.50467289719626,69.0677966101695,83.29045633208366,17,6,0,0,0,0,0.6166153000794705,0.6889152801769864,0.47927226370873816,1.784802843965195,166055.52196797795
31,31,Electric Engineering,M,85.45454545454545,94.79768786127168,82.55813953488372,71.5,66.4259927797834,84.7926267281106,84.21052631578948,98.05194805194805,81.77570093457943,83.05084745762711,83.26180151185389,1,15,0,1,0,1,0.4470984122439632,0.1689420687034506,0.5157742295614507,1.1318147105088645,154074.26947483816
32,32,Electric Engineering,M,72.12121212121212,80.34682080924856,69.18604651162791,62.0,58.48375451263538,71.42857142857143,76.97368421052632,85.06493506493507,71.49532710280374,75.0,72.21003517615604,4,1,1,1,1,3,0.1643659341396102,0.13133333416936557,0.1383269024026412,0.434026170711617,60750.31011664597
33,33,Others,M,78.18181818181819,86.70520231213872,80.23255813953489,88.5,88.4476534296029,79.72350230414746,84.86842105263158,83.76623376623377,76.16822429906541,62.28813559322034,80.88817490783933,19,14,0,0,0,0,0.6895632283021814,0.8150246521577678,0.7211699864356855,2.225757866895635,226829.2957942604
34,34,Computer Science,M,81.21212121212122,76.878612716763,59.30232558139535,62.0,66.06498194945848,80.18433179723502,86.84210526315789,77.92207792207792,66.82242990654206,76.69491525423729,73.39239016029883,6,10,1,0,0,1,0.30881612304859807,0.27830355333819085,0.41747134402217817,1.0045910204089672,121174.0980473603
35,35,Electric Engineering,F,78.78787878787878,86.1271676300578,83.13953488372093,61.0,57.40072202166065,77.88018433179724,78.94736842105263,88.31168831168831,79.90654205607477,86.44067796610169,77.79417644100327,1,10,0,1,0,1,0.30265582194424706,0.11048025649799663,0.3626753102545042,0.7758113886967479,128159.1699886553
36,36,Computer Science,M,74.54545454545455,71.67630057803468,55.81395348837209,53.5,58.12274368231047,71.42857142857143,76.97368421052632,72.07792207792208,64.01869158878505,75.0,67.31573215999767,7,4,1,0,0,1,0.16006462117777853,0.24673733825919356,0.24834266392906254,0.6551446233660346,69343.68943135747
37,37,Mathmatics,M,92.12121212121212,88.4393063583815,78.48837209302326,69.5,72.20216606498195,91.70506912442396,86.1842105263158,84.41558441558442,84.11214953271028,90.2542372881356,83.7422307524769,5,12,0,0,0,0,0.48993671583413984,0.29492646631123226,0.48712466940850546,1.2719878515538776,140666.43166734398
38,38,Computer Science,F,87.27272727272727,90.7514450867052,69.18604651162791,69.5,74.0072202166065,93.54838709677419,96.05263157894737,91.55844155844156,77.57009345794393,91.10169491525424,84.05486876950282,5,18,0,0,0,0,0.5563787923820511,0.3420831195624842,0.6542208788527945,1.5526827907973297,185519.92880535778
39,39,Electric Engineering,F,76.36363636363636,83.81502890173411,80.81395348837209,64.5,63.537906137184116,72.35023041474655,76.97368421052632,86.36363636363636,79.4392523364486,78.8135593220339,76.29708875383184,9,8,0,0,0,0,0.3870153489448532,0.38407329450295474,0.4096804952484832,1.180769138696291,98321.50103794938
40,40,Others,M,78.18181818181819,90.17341040462428,87.20930232558139,87.5,86.64259927797833,80.18433179723502,81.57894736842105,87.66233766233766,83.64485981308411,66.52542372881356,82.93030305598936,17,11,0,0,0,0,0.6613660632145938,0.7259280728778819,0.6168679387323915,2.004162074824867,207977.3180533627
41,41,Mathmatics,M,73.33333333333333,76.30057803468208,67.44186046511628,62.0,66.06498194945848,74.19354838709677,78.94736842105263,70.77922077922078,78.97196261682242,81.77966101694915,72.98125150037319,10,1,1,0,1,2,0.27530899164916417,0.3550005580501767,0.22018548644066863,0.8504950361400095,106815.55903953873
42,42,Mathmatics,F,86.06060606060606,82.08092485549133,73.83720930232558,65.5,68.95306859205776,88.47926267281106,82.23684210526316,74.67532467532467,88.3177570093458,95.76271186440678,80.59037071376322,5,8,0,0,0,0,0.39529066949563846,0.2526554460381633,0.3678969763554494,1.0158430918892511,98846.46339411338
43,43,Liberal Arts,M,81.81818181818181,84.39306358381504,72.67441860465117,87.5,90.97472924187726,80.64516129032258,88.8157894736842,78.57142857142857,80.8411214953271,67.79661016949153,81.40305042487792,22,10,0,0,0,0,0.7065167179209988,0.8966633663667415,0.651600146523898,2.2547802308116385,183537.26040326685
44,44,Information Science,M,83.63636363636364,90.17341040462428,91.86046511627907,89.5,85.5595667870036,74.19354838709677,75.0,79.22077922077922,93.92523364485982,70.76271186440678,83.38320790614132,21,12,0,0,0,0,0.7444628534018751,0.8824818311254659,0.6989881704321271,2.325932854959468,201839.70877073306
45,45,Information Science,M,81.21212121212122,95.95375722543352,96.51162790697674,100.0,93.50180505415162,82.94930875576037,79.60526315789474,89.6103896103896,95.79439252336448,69.91525423728814,88.50539196833805,16,15,0,0,0,0,0.7811729011998686,0.7403129413455771,0.7292408219666917,2.250726664512137,192234.34363136056
46,46,Mathmatics,F,95.15151515151516,86.70520231213872,77.32558139534883,68.5,74.36823104693141,94.93087557603687,91.44736842105263,79.87012987012987,83.64485981308411,92.79661016949153,84.4740373755729,7,12,0,0,0,0,0.5350386943822097,0.37122945831789145,0.5156737681857673,1.4219419208858683,136985.04452797864
